date,inst,vlmbase,varbase,volume,variance
7/9/2015,GF,5920.404774,5285.677029,6079.185751,5392.619234
7/9/2015,HE,21085.30616,1758.602964,21085.30616,1769.994053
7/9/2015,HG,43111.57541,6662.279383,43111.57541,6662.279383
7/9/2015,HO,45004.0889,110023.5933,45267.95793,110027.6808
7/9/2015,KE,14690.84003,2002.306555,14739.09398,2002.395822
7/9/2015,LE,28014.8015,2125.473363,28691.591,2147.011403
7/9/2015,NG,113258.2614,5714.342212,152773.4222,9631.430705
7/9/2015,NQ,198914.5811,29795.73299,199437.1119,30119.47595
7/9/2015,PA,3365.723776,40377.68391,3385.952779,40377.68391
7/9/2015,PL,9479.42942,14007.53772,9794.671681,14304.1291
7/9/2015,RB,42549.36178,120522.748,43399.38074,121084.5474
7/9/2015,SI,33500.29827,4169.576461,34612.01286,4245.366746
7/9/2015,UB,73259.60568,4384.765794,89212.71103,5165.846104
7/9/2015,YM,129887.1603,23526.33054,130611.8387,23819.2339
7/9/2015,ZB,214069.0757,3350.033841,253908.9598,3974.565269
7/9/2015,ZC,197775.1943,967.0857282,198506.6171,974.5766932
7/9/2015,ZF,516332.4545,2418.937972,567058.3019,2782.696147
7/9/2015,ZL,60440.50958,2633.958125,60607.15284,2652.870452
7/9/2015,ZM,54808.71072,3052.678373,55299.75908,3072.488183
7/9/2015,ZN,1016865.555,1953.580503,1144423.85,2233.815461
7/9/2015,ZS,131359.732,3134.63404,132400.2588,3179.278611
7/9/2015,ZT,213133.991,148.8510548,243126.5081,168.4352669
7/9/2015,ZW,77863.30963,2684.484483,77863.30963,2684.484483
7/10/2015,6A,75686.89064,7733.042255,82561.05874,8268.059565
7/10/2015,6B,80460.0251,11865.40706,90569.23878,12854.26075
7/10/2015,6C,55773.75072,4619.456545,57938.00523,4824.327452
7/10/2015,6E,222759.1336,15734.14547,243642.983,16927.65248
7/10/2015,6J,110675.6535,5760.312546,119892.5013,5789.130729
7/10/2015,6M,29285.24935,2566.686986,31803.24399,2848.418013
7/10/2015,6N,16431.81531,4594.143743,17505.59177,4839.534901
7/10/2015,6S,18090.55294,9239.711439,19005.61307,9571.55016
7/10/2015,CL,300136.8248,23388.54797,300136.8248,23388.54797
7/10/2015,EMD,15242.84067,12326.15616,15630.24126,12579.18375
7/10/2015,ES,1312507.984,8387.242627,1351542.286,8504.773244
7/10/2015,GC,103652.33,12561.44508,106434.567,12947.78475
7/10/2015,GE,1001582.614,262.4870952,1088611.5,273.1905857
7/10/2015,GF,5874.618401,5045.285757,5874.618401,5054.529859
7/10/2015,HE,20590.28713,1675.455063,20590.28713,1688.85175
7/10/2015,HG,45075.36057,7118.871173,45633.7765,7166.343652
7/10/2015,HO,45091.49218,110565.9556,45091.49218,110565.9556
7/10/2015,KE,14690.84003,2002.306555,14905.40737,2011.717086
7/10/2015,LE,27769.8244,2061.079872,27772.04064,2109.075955
7/10/2015,NG,112786.1599,5684.122499,112786.1599,5684.122499
7/10/2015,NQ,201559.7198,30506.25507,209882.9699,31066.43651
7/10/2015,PA,3444.780339,42534.90208,3444.780339,43107.07911
7/10/2015,PL,9735.724718,14888.61727,9803.382485,15130.43808
7/10/2015,RB,42728.04774,121191.891,42728.04774,121191.891
7/10/2015,SI,34283.07547,4259.6731,35088.22028,4413.212304
7/10/2015,UB,73602.84217,4435.900781,75589.08498,4604.824706
7/10/2015,YM,132387.425,24281.91544,137027.513,24607.79492
7/10/2015,ZB,215014.6207,3406.867508,222403.5546,3539.961633
7/10/2015,ZC,197775.1943,967.0857282,197775.1943,967.0857282
7/10/2015,ZF,517183.8284,2455.633364,550363.567,2586.147345
7/10/2015,ZL,60440.50958,2633.958125,60674.43797,2633.958125
7/10/2015,ZM,54808.71072,3052.678373,54808.71072,3052.678373
7/10/2015,ZN,1023631.16,1987.426034,1075634.87,2097.451587
7/10/2015,ZS,131359.732,3134.63404,134287.751,3134.63404
7/10/2015,ZT,213033.1822,151.495682,238046.5298,161.471589
7/10/2015,ZW,77863.30963,2684.484483,77863.30963,2684.484483
7/11/2015,6A,75995.2645,7761.723159,75995.2645,7761.723159
7/11/2015,6B,80040.6595,11798.77025,80040.6595,11798.77025
7/11/2015,6C,55850.44133,4607.131818,55850.44133,4607.131818
7/11/2015,6E,221115.665,15702.40593,221115.665,15702.40593
7/11/2015,6J,110896.6674,5961.174498,110896.6674,5961.174498
